application_id,continent,applicant_country,visa_type,processing_center,application_date,decision_date,processing_days,applicant_age,education_level,has_job_experience,full_time_flag,case_status
APP00114,South America,Chile,Work,Paris,2023-04-22,2023-07-23,92,35,High School,N,N,Approved
APP00115,Africa,Egypt,Work,Chennai,2019-01-23,2019-05-07,104,27,Bachelor's,Y,N,Approved
APP00116,Asia,Pakistan,Work,Chennai,2024-10-22,2025-01-14,84,24,Diploma,N,Y,Approved
APP00117,Africa,Nigeria,Family,Hyderabad,2020-05-12,2020-08-05,85,32,Bachelor's,N,Y,Denied
APP00118,Africa,Kenya,Business,Tokyo,2024-12-15,2024-12-26,11,23,Master's,Y,Y,Approved
APP00119,Oceania,New Zealand,Business,Berlin,2024-08-29,2024-09-23,25,39,Bachelor's,Y,Y,Approved
APP00120,Africa,Ghana,Business,Chennai,2024-04-28,2024-05-01,3,40,Bachelor's,N,Y,Approved
APP00121,Africa,South Africa,Work,Tokyo,2022-02-09,2022-06-18,129,30,High School,N,N,Approved
APP00122,Oceania,New Zealand,Research,Hyderabad,2022-01-29,2022-05-14,105,31,Master's,Y,Y,Approved
APP00123,Africa,Nigeria,Research,Bangalore,2021-08-18,2021-12-15,119,26,Master's,N,Y,Approved
APP00124,North America,Canada,Tourist,Sydney,2019-11-27,2019-12-29,32,37,Bachelor's,Y,Y,Approved
APP00125,Europe,Germany,Work,New York,2020-09-17,2020-12-03,77,18,Bachelor's,N,Y,Approved
APP00126,South America,Brazil,Student,New York,2023-07-28,2023-10-21,85,41,Diploma,Y,Y,Approved
APP00127,North America,Mexico,Business,New York,2019-09-13,2019-09-16,3,29,Master's,Y,Y,Approved
APP00128,Europe,Italy,Business,Dubai,2019-03-22,2019-04-02,11,22,High School,N,Y,Approved
APP00129,Oceania,New Zealand,Business,Delhi,2022-12-11,2022-12-26,15,29,Diploma,N,Y,Approved
APP00130,North America,Canada,Business,Sydney,2021-06-22,2021-07-11,19,26,Bachelor's,Y,N,Approved
APP00131,Africa,Kenya,Tourist,New York,2024-06-12,2024-06-15,3,37,Bachelor's,Y,Y,Approved
APP00132,Asia,Pakistan,Tourist,Tokyo,2023-07-15,2023-07-18,3,24,Bachelor's,Y,Y,Approved
APP00133,South America,Brazil,Business,Chennai,2024-12-27,2025-01-22,26,38,High School,Y,Y,Approved
APP00134,Asia,Pakistan,Family,Berlin,2019-04-22,2019-07-04,73,33,Bachelor's,Y,Y,Approved
APP00135,Asia,UAE,Business,Chennai,2024-03-06,2024-03-29,23,33,Master's,Y,N,Approved
APP00136,Europe,UK,Tourist,New York,2022-09-02,2022-10-04,32,27,High School,Y,Y,Approved
APP00137,Europe,Italy,Tourist,London,2023-04-02,2023-05-02,30,21,Bachelor's,N,N,Approved
APP00138,North America,Canada,Tourist,Mumbai,2024-04-10,2024-05-03,23,20,Bachelor's,Y,N,Approved
APP00139,Asia,UAE,Family,Delhi,2022-12-04,2023-01-28,55,41,Diploma,N,N,Approved
APP00140,Europe,Netherlands,Student,Dubai,2019-06-14,2019-09-11,89,37,Master's,N,Y,Approved
APP00141,Asia,China,Work,Delhi,2020-09-16,2020-12-23,98,18,Bachelor's,Y,Y,Denied
APP00142,Europe,Germany,Business,Tokyo,2020-04-13,2020-04-28,15,32,Diploma,Y,Y,Denied
APP00143,Oceania,Australia,Business,Paris,2021-11-15,2021-12-07,22,23,Diploma,Y,N,Denied
APP00144,North America,USA,Family,Berlin,2020-04-14,2020-07-11,88,36,Bachelor's,Y,Y,Denied
APP00145,Europe,France,Student,Berlin,2019-04-16,2019-06-07,52,21,Bachelor's,Y,Y,Approved
APP00146,North America,Mexico,Research,New York,2023-06-13,2023-09-23,102,24,Diploma,Y,Y,Approved
APP00147,South America,Brazil,Student,Berlin,2021-09-21,2021-12-08,78,37,Bachelor's,Y,N,Denied
APP00148,Asia,UAE,Tourist,Tokyo,2020-05-10,2020-05-19,9,34,High School,Y,Y,Approved
APP00149,Oceania,Australia,Tourist,Sydney,2023-10-21,2023-12-15,55,29,Bachelor's,N,Y,Approved
APP00150,South America,Argentina,Student,Sydney,2022-10-29,2023-01-11,74,42,Bachelor's,Y,Y,Denied
APP00151,Asia,Pakistan,Business,Mumbai,2023-11-11,2023-12-03,22,36,Diploma,Y,Y,Approved
APP00152,North America,Mexico,Business,Paris,2020-09-18,2020-10-02,14,34,Diploma,Y,N,Approved
APP00153,Africa,Kenya,Research,Sydney,2022-01-11,2022-04-27,106,37,Bachelor's,N,Y,Approved
APP00154,Oceania,New Zealand,Business,New York,2022-01-04,2022-01-24,20,31,Diploma,Y,N,Approved
APP00155,North America,USA,Student,Bangalore,2024-01-21,2024-03-28,67,37,Master's,N,N,Approved
APP00156,Europe,Italy,Family,Berlin,2023-04-02,2023-06-21,80,30,Bachelor's,N,Y,Approved
APP00157,North America,USA,Business,London,2021-01-14,2021-01-28,14,27,High School,Y,Y,Approved
APP00158,Africa,Kenya,Tourist,Dubai,2021-11-24,2021-12-18,24,26,Bachelor's,N,Y,Approved
APP00159,North America,Canada,Family,Paris,2022-02-05,2022-05-04,88,36,Diploma,Y,N,Approved
APP00160,Oceania,Australia,Family,Hyderabad,2019-12-17,2020-03-11,85,37,Master's,N,N,Approved
APP00161,Europe,Netherlands,Business,Toronto,2021-09-11,2021-09-19,8,39,Bachelor's,Y,N,Withdrawn
APP00162,South America,Argentina,Research,Paris,2024-07-03,2024-10-05,94,40,Bachelor's,N,Y,Approved
APP00163,Africa,Nigeria,Student,Bangalore,2021-06-26,2021-09-07,73,23,Diploma,Y,Y,Approved
APP00164,Africa,Kenya,Tourist,Tokyo,2023-02-20,2023-03-11,19,31,Bachelor's,Y,Y,Denied
APP00165,Africa,Ghana,Family,London,2023-10-09,2024-01-08,91,28,Master's,Y,N,Approved
APP00166,South America,Chile,Tourist,London,2024-02-02,2024-02-23,21,33,Bachelor's,Y,Y,Approved
APP00167,North America,Canada,Tourist,Hyderabad,2020-05-09,2020-05-26,17,26,Master's,Y,Y,Withdrawn
APP00168,South America,Brazil,Tourist,Mumbai,2021-01-28,2021-03-13,44,26,Bachelor's,Y,N,Approved
APP00169,Europe,Germany,Research,Toronto,2022-02-06,2022-05-19,102,19,Bachelor's,Y,Y,Denied
APP00170,South America,Chile,Family,Berlin,2022-03-05,2022-05-16,72,27,Master's,N,N,Denied
APP00171,Asia,China,Tourist,Hyderabad,2023-01-18,2023-02-26,39,44,High School,Y,Y,Approved
APP00172,Europe,France,Student,Paris,2024-12-27,2025-03-11,74,42,High School,Y,N,Approved
APP00173,Europe,France,Student,Delhi,2022-04-11,2022-06-24,74,38,Bachelor's,Y,N,Approved
APP00174,South America,Brazil,Research,Dubai,2024-07-03,2024-10-19,108,42,Diploma,N,N,Approved
APP00175,Asia,India,Family,Bangalore,2024-04-06,2024-07-09,94,33,Bachelor's,Y,N,Approved
APP00176,Africa,Egypt,Tourist,Chennai,2019-07-30,2019-08-16,17,31,Bachelor's,N,Y,Denied
APP00177,North America,Canada,Student,Mumbai,2023-06-30,2023-10-03,95,38,High School,Y,N,Withdrawn
APP00178,Africa,Nigeria,Family,Tokyo,2019-08-08,2019-10-10,63,35,Bachelor's,Y,N,Approved
APP00179,Europe,Germany,Family,Bangalore,2019-12-15,2020-03-06,82,41,PhD,Y,N,Denied
APP00180,Europe,UK,Family,Dubai,2023-09-01,2023-11-19,79,31,Bachelor's,N,Y,Approved
APP00181,Oceania,Australia,Family,New York,2024-01-20,2024-04-28,99,19,High School,N,N,Withdrawn
APP00182,Africa,South Africa,Family,New York,2022-06-04,2022-08-16,73,32,Master's,Y,Y,Approved
APP00183,Oceania,Australia,Family,Paris,2020-02-11,2020-05-24,103,29,Bachelor's,Y,Y,Withdrawn
APP00184,Europe,Netherlands,Work,Bangalore,2019-11-29,2020-02-09,72,18,Diploma,N,N,Approved
APP00185,Europe,Germany,Work,Sydney,2019-11-04,2020-02-04,92,26,Bachelor's,Y,N,Approved
APP00186,Europe,UK,Business,Toronto,2024-04-08,2024-05-05,27,29,Bachelor's,Y,Y,Approved
APP00187,North America,USA,Work,Bangalore,2022-03-04,2022-06-16,104,31,Master's,Y,Y,Approved
APP00188,South America,Argentina,Student,Tokyo,2021-08-14,2021-10-27,74,40,Master's,Y,N,Approved
APP00189,North America,Mexico,Family,Tokyo,2021-03-21,2021-06-13,84,33,Master's,N,N,Approved
APP00190,Africa,Nigeria,Family,Hyderabad,2020-09-02,2020-11-23,82,34,Master's,Y,Y,Approved
APP00191,North America,USA,Student,Delhi,2020-11-10,2021-01-20,71,42,Diploma,Y,Y,Approved
APP00192,North America,Mexico,Research,Berlin,2022-03-28,2022-07-16,110,25,Bachelor's,Y,Y,Approved
APP00193,Africa,Nigeria,Business,Paris,2022-05-30,2022-06-08,9,18,Bachelor's,Y,N,Denied
APP00194,South America,Argentina,Tourist,Sydney,2024-07-15,2024-07-23,8,29,Diploma,N,Y,Approved
APP00195,Africa,Nigeria,Family,Delhi,2023-11-05,2024-02-11,98,36,Bachelor's,Y,Y,Approved
APP00196,South America,Argentina,Family,Bangalore,2019-04-16,2019-07-02,77,25,High School,Y,Y,Approved
APP00197,Asia,China,Research,Berlin,2019-03-26,2019-07-30,126,34,Master's,Y,Y,Approved
APP00198,South America,Argentina,Family,Delhi,2020-12-18,2021-03-24,96,36,High School,N,Y,Approved
APP00199,Africa,Ghana,Research,Toronto,2022-02-13,2022-06-01,108,32,Master's,N,Y,Denied
APP00200,Europe,Spain,Business,Tokyo,2024-07-07,2024-08-06,30,31,Bachelor's,Y,Y,Approved
APP00201,Asia,Pakistan,Tourist,New York,2022-09-27,2022-10-09,12,26,Master's,Y,N,Approved
APP00202,North America,Mexico,Student,Chennai,2022-09-12,2022-12-17,96,25,Bachelor's,Y,Y,Approved
APP00203,Africa,Egypt,Tourist,Tokyo,2023-06-29,2023-07-19,20,30,Diploma,Y,Y,Approved
APP00204,Oceania,Australia,Business,Mumbai,2022-07-12,2022-07-28,16,18,Master's,N,N,Approved
APP00205,North America,Canada,Student,Dubai,2023-07-14,2023-10-02,80,19,PhD,Y,N,Approved
APP00206,Oceania,Australia,Research,Sydney,2024-03-07,2024-07-10,125,26,Bachelor's,N,N,Approved
APP00207,Africa,Nigeria,Work,Sydney,2023-01-21,2023-05-08,107,18,Master's,Y,N,Approved
APP00208,Oceania,New Zealand,Research,Toronto,2019-07-31,2019-10-31,92,32,Master's,N,Y,Approved
APP00209,Europe,France,Family,Chennai,2022-03-25,2022-06-12,79,38,Diploma,N,Y,Approved
APP00210,Africa,Egypt,Student,Delhi,2021-09-07,2021-12-19,103,18,Diploma,Y,N,Approved
APP00211,South America,Brazil,Tourist,Sydney,2019-02-26,2019-03-02,4,38,Master's,Y,N,Approved
APP00212,Oceania,New Zealand,Student,Hyderabad,2020-04-09,2020-06-23,75,21,Bachelor's,N,Y,Approved
APP00213,Africa,Nigeria,Research,Chennai,2024-08-03,2024-11-29,118,35,Diploma,Y,Y,Approved
APP00214,South America,Argentina,Family,Paris,2022-01-24,2022-04-10,76,44,Master's,N,Y,Denied
APP00215,Africa,Egypt,Business,Hyderabad,2024-02-14,2024-02-25,11,28,Diploma,Y,Y,Denied
APP00216,Oceania,Australia,Business,Hyderabad,2024-09-12,2024-10-10,28,29,Bachelor's,Y,Y,Approved
APP00217,South America,Brazil,Student,Bangalore,2023-08-27,2023-12-05,100,32,Bachelor's,Y,Y,Approved
APP00218,North America,Mexico,Tourist,Delhi,2022-03-04,2022-04-13,40,22,Diploma,Y,N,Approved
APP00219,South America,Argentina,Family,Berlin,2024-06-28,2024-09-08,72,43,Master's,Y,N,Denied
APP00220,Europe,Italy,Family,Toronto,2022-11-14,2023-02-03,81,32,Bachelor's,Y,N,Approved
APP00221,North America,Mexico,Family,New York,2024-02-09,2024-05-12,93,38,Diploma,Y,Y,Approved
APP00222,North America,USA,Research,Hyderabad,2023-04-18,2023-08-04,108,24,PhD,Y,N,Approved
APP00223,Europe,Italy,Student,London,2024-04-21,2024-07-08,78,32,Bachelor's,N,N,Approved
APP00224,South America,Argentina,Business,Tokyo,2020-09-15,2020-10-14,29,21,Master's,N,N,Approved
APP00225,Africa,Nigeria,Work,Sydney,2022-09-21,2022-12-18,88,30,Bachelor's,Y,Y,Approved
APP00226,Asia,Pakistan,Student,Sydney,2024-02-15,2024-05-19,94,24,Bachelor's,Y,Y,Approved
APP00227,Asia,UAE,Work,New York,2020-09-24,2021-01-11,109,37,Bachelor's,Y,Y,Denied
APP00228,Asia,Pakistan,Tourist,London,2023-06-17,2023-06-20,3,46,High School,Y,Y,Approved
APP00229,South America,Brazil,Tourist,Tokyo,2024-12-25,2025-02-02,39,47,Bachelor's,N,N,Approved
APP00230,Africa,South Africa,Research,Paris,2024-06-21,2024-10-08,109,31,Diploma,N,Y,Denied
APP00231,Oceania,Australia,Family,Mumbai,2021-08-19,2021-11-02,75,28,Bachelor's,Y,Y,Approved
APP00232,South America,Chile,Tourist,Hyderabad,2020-01-06,2020-02-04,29,39,Bachelor's,Y,N,Approved
APP00233,Africa,Nigeria,Research,Paris,2020-02-16,2020-05-14,88,28,Diploma,Y,Y,Approved
APP00234,Africa,Kenya,Research,Bangalore,2019-04-29,2019-07-30,92,32,Bachelor's,Y,N,Approved
APP00235,Asia,Japan,Student,Bangalore,2023-01-08,2023-03-26,77,39,High School,Y,N,Approved
APP00236,North America,Canada,Work,Hyderabad,2024-12-15,2025-03-20,95,30,Diploma,Y,N,Approved
APP00237,Africa,Ghana,Research,Dubai,2021-01-07,2021-04-02,85,25,Master's,Y,N,Approved
APP00238,Europe,Germany,Student,Berlin,2023-04-16,2023-06-21,66,31,Bachelor's,Y,Y,Approved
APP00239,Oceania,Australia,Business,Berlin,2020-08-09,2020-09-05,27,32,Diploma,Y,Y,Approved
APP00240,Europe,Italy,Research,Bangalore,2024-02-26,2024-06-16,111,45,Diploma,Y,Y,Approved
APP00241,North America,Mexico,Student,Dubai,2024-03-20,2024-05-24,65,41,Bachelor's,N,N,Withdrawn
APP00242,North America,Mexico,Family,Chennai,2019-10-30,2020-01-24,86,41,Diploma,Y,Y,Denied
APP00243,Africa,South Africa,Family,Bangalore,2023-10-04,2023-12-16,73,22,Diploma,Y,Y,Approved
APP00244,South America,Argentina,Business,Bangalore,2021-03-26,2021-04-12,17,19,Master's,Y,Y,Approved
APP00245,Africa,Egypt,Student,Hyderabad,2023-04-12,2023-07-10,89,21,PhD,Y,Y,Approved
APP00246,Oceania,New Zealand,Family,Bangalore,2022-04-24,2022-07-04,71,29,Bachelor's,N,Y,Approved
APP00247,Asia,UAE,Business,Bangalore,2019-02-03,2019-02-20,17,20,High School,Y,N,Approved
APP00248,Oceania,Australia,Family,Paris,2024-07-27,2024-11-02,98,34,Master's,Y,Y,Approved
APP00249,North America,USA,Family,Dubai,2022-12-14,2023-03-23,99,30,Bachelor's,Y,Y,Approved
APP00250,Europe,Netherlands,Work,Berlin,2021-10-23,2022-01-22,91,28,Master's,N,Y,Approved
APP00251,South America,Chile,Research,Tokyo,2020-07-14,2020-10-12,90,20,High School,N,Y,Approved
APP00252,South America,Brazil,Research,Tokyo,2019-06-11,2019-09-05,86,18,Bachelor's,Y,N,Approved
APP00253,North America,Canada,Student,Berlin,2023-02-03,2023-04-24,80,29,Bachelor's,N,N,Denied
APP00254,South America,Brazil,Student,Bangalore,2022-08-31,2022-11-20,81,36,High School,Y,Y,Approved
APP00255,South America,Argentina,Work,Hyderabad,2020-06-25,2020-09-23,90,29,Bachelor's,N,Y,Denied
